school_urn,local_authority_id,academy_URN,result_type,result_year,total_pupils,is_special,new_school,ks2_percent_low_ks1_attainers,ks2_percent_medium_ks1_attainers,ks2_percent_high_ks1_attainers,ks2_percent_disadvantaged,ks2_percent_not_disadvantaged,ks2_percent_EAL,ks2_percent_non_mobile,ks2_percent_special_needs,ks2_percent_2_levels_progress_maths,ks2_percent_boys_2_levels_progress_maths,ks2_percent_girls_2_levels_progress_maths,ks2_percent_low_PA_2_levels_progress_maths,ks2_percent_med_PA_2_levels_progress_maths,ks2_percent_high_PA_2_levels_progress_maths,ks2_percent_disadvantaged_2_levels_progress_maths,ks2_percent_non_disadvantaged_2_levels_progress_maths,ks2_percent_GAP_disadvantaged_others_2_levels_progress_maths,ks2_percent_EAL_2_levels_progress_maths,ks2_percent_2_levels_progress_maths_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_maths_3YR_avg,ks2_percent_2_levels_progress_reading,ks2_percent_boys_2_levels_progress_reading,ks2_percent_girls_2_levels_progress_reading,ks2_percent_low_PA_2_levels_progress_reading,ks2_percent_med_PA_2_levels_progress_reading,ks2_percent_high_PA_2_levels_progress_reading,ks2_percent_disadvantaged_2_levels_progress_reading,ks2_percent_not_disadvantaged_2_levels_progress_reading,ks2_percent_GAP_disadvantaged_others_2_levels_progress_reading,ks2_percent_EAL_2_levels_progress_reading,ks2_percent_2_levels_progress_reading_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_reading_3YR_avg,ks2_percent_2_levels_progress_writing,ks2_percent_boys_2_levels_progress_writing,ks2_percent_girls_2_levels_progress_writing,ks2_percent_low_PA_2_levels_progress_writing,ks2_percent_med_PA_2_levels_progress_writing,ks2_percent_high_PA_2_levels_progress_writing,ks2_percent_disadvantaged_2_levels_progress_writing,ks2_percent_not_disadvantaged_2_levels_progress_writing,ks2_percent_GAP_disadvantaged_others_2_levels_progress_writing,ks2_percent_EAL_2_levels_progress_writing,ks2_percent_2_levels_progress_writing_3YR_avg,ks2_percent_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_non_disadvantaged_2_levels_progress_writing_3YR_avg,ks2_percent_level_4_above_RWM,ks2_percent_level_4_above_RWM_2012,ks2_percent_level_4_above_RWM_2013,ks2_percent_level_4_above_RWM_2014,ks2_percent_level_4B_above_RWM,ks2_percent_level_4B_above_RWM_2013,ks2_percent_level_4B_above_RWM_2014,ks2_percent_level_5_above_RWM,ks2_percent_level_5_above_RWM_2012,ks2_percent_level_5_above_RWM_2013,ks2_percent_level_5_above_RWM_2014,ks2_percent_level_3_below_RWM,ks2_value_added,ks2_percent_disadvantaged_2012,ks2_percent_disadvantaged_2013,ks2_percent_disadvantaged_2014,ks2_percent_not_disadvantaged_2012,ks2_percent_not_disadvantaged_2013,ks2_percent_not_disadvantaged_2014,percent_SEN_statement
114867,881,,KS2,2015,240,FALSE,,10%,48%,42%,23%,77%,5%,94%,2%,92%,88%,95%,100%,93%,88%,93%,92%,1,,88%,80%,91%,92%,88%,95%,67%,97%,92%,86%,94%,-8,,85%,80%,87%,94%,92%,95%,83%,90%,100%,93%,94%,-1,,91%,82%,94%,81%,63%,70%,75%,77%,49%,64%,26%,4%,18%,19%,6%,99.8,29%,26%,28%,71%,74%,72%,2%
117219,919,,KS2,2015,240,FALSE,,3%,66%,31%,13%,88%,6%,97%,0%,91%,93%,88%,,90%,90%,,,,,93%,93%,93%,97%,100%,94%,,100%,90%,,,,,95%,86%,97%,97%,93%,100%,,95%,100%,,,,,99%,100%,99%,91%,80%,90%,83%,72%,72%,72%,25%,23%,21%,21%,0%,99.4,13%,14%,21%,87%,86%,79%,0%
106055,356,,KS2,2015,238,FALSE,,7%,59%,34%,3%,97%,3%,100%,0%,97%,93%,100%,,100%,90%,,,,,93%,100%,93%,97%,93%,100%,,100%,100%,,,,,90%,83%,90%,100%,100%,100%,,100%,100%,,,,,99%,100%,99%,97%,73%,69%,97%,86%,59%,90%,48%,30%,24%,37%,0%,100.3,10%,7%,10%,90%,93%,90%,0%
116286,850,,KS2,2015,237,FALSE,,12%,47%,41%,3%,97%,3%,94%,0%,85%,84%,87%,,88%,93%,,,,,93%,,,85%,84%,87%,,94%,100%,,,,,89%,,,94%,89%,100%,,94%,93%,,,,,91%,,,79%,90%,90%,100%,76%,84%,81%,32%,16%,23%,39%,6%,99.1,0%,3%,6%,100%,97%,94%,0%
117228,919,141898,KS2,2015,237,FALSE,,5%,60%,35%,37%,63%,20%,90%,0%,80%,79%,81%,,76%,89%,77%,82%,-5,80%,90%,86%,92%,95%,93%,96%,,94%,100%,95%,94%,1,100%,95%,98%,94%,95%,93%,96%,,100%,89%,95%,94%,1,100%,95%,98%,94%,78%,87%,98%,95%,56%,90%,85%,24%,34%,40%,35%,2%,98.6,21%,25%,19%,79%,75%,81%,0%
133364,302,,KS2,2015,236,FALSE,,16%,42%,42%,22%,78%,17%,100%,0%,100%,100%,,,100%,100%,,,,,98%,89%,100%,100%,100%,,,100%,100%,,,,,95%,89%,96%,95%,95%,,,100%,100%,,,,,95%,89%,96%,87%,69%,63%,91%,83%,54%,82%,22%,19%,0%,23%,0%,100.1,12%,21%,18%,88%,79%,82%,0%
102438,312,,KS2,2015,235,FALSE,,0%,73%,27%,17%,83%,7%,93%,0%,97%,93%,100%,,100%,88%,,,,,92%,93%,92%,93%,93%,94%,,95%,88%,,,,,93%,86%,94%,97%,93%,100%,,95%,100%,,,,,93%,79%,96%,93%,77%,85%,79%,83%,81%,66%,23%,30%,41%,28%,0%,100.3,13%,11%,21%,87%,89%,79%,0%
116025,850,,KS2,2015,234,FALSE,,10%,45%,45%,16%,84%,3%,97%,0%,94%,100%,88%,,93%,100%,,,,,95%,93%,95%,87%,93%,82%,,93%,93%,,,,,92%,73%,96%,97%,100%,94%,,100%,100%,,,,,99%,100%,99%,91%,97%,91%,94%,78%,78%,88%,44%,38%,31%,36%,6%,100.4,0%,13%,18%,100%,88%,82%,0%
124349,860,,KS2,2015,234,FALSE,,3%,65%,32%,32%,68%,3%,94%,6%,100%,100%,100%,,100%,100%,100%,100%,0,,94%,96%,93%,94%,88%,100%,,90%,100%,90%,95%,-5,,92%,83%,96%,100%,100%,100%,,100%,100%,100%,100%,0,,94%,91%,95%,87%,73%,69%,82%,71%,69%,64%,26%,30%,15%,32%,3%,99,20%,27%,27%,80%,73%,73%,3%
117472,919,,KS2,2015,233,FALSE,,10%,47%,43%,17%,83%,3%,93%,0%,90%,90%,89%,,100%,85%,,,,,92%,100%,91%,87%,90%,78%,,93%,85%,,,,,89%,90%,89%,97%,95%,100%,,100%,92%,,,,,98%,100%,97%,97%,80%,87%,93%,90%,73%,82%,33%,23%,13%,46%,3%,100.4,7%,3%,14%,93%,97%,86%,0%
107346,380,,KS2,2015,232,FALSE,,3%,67%,30%,10%,90%,16%,100%,6%,100%,100%,100%,,100%,100%,,,,,96%,73%,99%,97%,90%,100%,,95%,100%,,,,,94%,91%,95%,97%,90%,100%,,95%,100%,,,,,97%,82%,99%,94%,95%,87%,77%,84%,77%,60%,39%,11%,30%,33%,3%,100.4,16%,7%,20%,84%,93%,80%,0%
117448,919,,KS2,2015,230,FALSE,,13%,50%,37%,20%,80%,0%,93%,0%,100%,100%,100%,,100%,100%,100%,100%,0,,99%,100%,98%,97%,92%,100%,,100%,91%,100%,96%,4,,95%,93%,95%,100%,100%,100%,,100%,100%,100%,100%,0,,100%,100%,100%,90%,81%,89%,89%,83%,83%,75%,30%,31%,28%,21%,0%,100,19%,28%,11%,81%,72%,89%,0%
100026,202,,KS2,2015,229,FALSE,,4%,58%,38%,28%,72%,59%,86%,0%,96%,100%,94%,,100%,100%,88%,100%,-12,100%,96%,88%,100%,96%,89%,100%,,93%,100%,88%,100%,-12,93%,96%,87%,100%,96%,89%,100%,,93%,100%,88%,100%,-12,93%,94%,91%,96%,86%,76%,89%,79%,79%,78%,71%,38%,17%,22%,21%,3%,100.9,28%,37%,25%,72%,63%,75%,0%
117444,919,,KS2,2015,229,FALSE,,12%,50%,38%,7%,93%,4%,96%,0%,96%,92%,100%,,100%,90%,,,,,96%,100%,96%,96%,91%,100%,,100%,100%,,,,,94%,100%,93%,100%,100%,100%,,100%,100%,,,,,96%,100%,96%,89%,79%,96%,87%,82%,96%,61%,29%,18%,33%,26%,4%,99.7,0%,4%,13%,100%,96%,87%,0%
110278,825,,KS2,2015,227,FALSE,,7%,57%,36%,11%,89%,2%,96%,2%,93%,93%,93%,,91%,95%,100%,92%,8,,88%,93%,88%,79%,74%,83%,,78%,80%,67%,80%,-13,,86%,79%,86%,100%,100%,100%,,100%,100%,100%,100%,0,,94%,100%,94%,88%,73%,88%,79%,75%,72%,62%,28%,25%,26%,26%,2%,99.7,15%,6%,9%,85%,94%,91%,0%
114219,840,,KS2,2015,227,FALSE,,3%,60%,37%,39%,61%,0%,71%,0%,97%,100%,94%,,94%,100%,92%,100%,-8,,93%,88%,96%,87%,100%,76%,,94%,73%,75%,94%,-19,,89%,83%,91%,97%,100%,94%,,100%,91%,100%,94%,6,,97%,100%,96%,97%,67%,88%,94%,97%,84%,72%,52%,21%,28%,39%,3%,100.8,21%,28%,28%,79%,72%,72%,0%
122575,891,,KS2,2015,227,FALSE,,7%,60%,33%,17%,83%,0%,100%,0%,91%,94%,88%,,91%,95%,90%,91%,-1,,87%,77%,89%,95%,90%,100%,,94%,95%,100%,94%,6,,88%,88%,88%,98%,97%,100%,,97%,100%,100%,98%,2,,98%,96%,98%,88%,84%,80%,84%,69%,67%,76%,25%,34%,18%,27%,3%,99.5,21%,16%,15%,79%,84%,85%,0%
120920,926,,KS2,2015,227,FALSE,,13%,50%,37%,27%,73%,0%,100%,0%,83%,82%,85%,,93%,73%,88%,82%,6,,78%,78%,77%,80%,88%,69%,,93%,64%,88%,77%,11,,85%,83%,85%,93%,94%,92%,,93%,100%,88%,95%,-7,,95%,87%,98%,87%,70%,69%,67%,77%,58%,47%,20%,20%,19%,20%,3%,98.9,7%,35%,20%,93%,65%,80%,0%
113848,835,,KS2,2015,226,FALSE,,13%,53%,34%,21%,79%,3%,97%,3%,84%,89%,79%,,82%,91%,86%,84%,2,,91%,90%,91%,84%,83%,86%,,82%,82%,86%,84%,2,,90%,90%,90%,97%,94%,100%,,94%,100%,86%,100%,-14,,98%,90%,99%,82%,89%,91%,82%,74%,82%,76%,32%,40%,18%,36%,3%,99.6,3%,6%,3%,97%,94%,97%,3%
124195,860,,KS2,2015,226,FALSE,,13%,40%,47%,3%,97%,3%,100%,0%,100%,100%,100%,,100%,100%,,,,,98%,,,93%,94%,92%,,100%,86%,,,,,97%,,,100%,100%,100%,,100%,100%,,,,,98%,,,93%,87%,93%,93%,87%,82%,79%,40%,39%,29%,55%,0%,100.7,13%,4%,3%,87%,96%,97%,0%
105229,350,,KS2,2015,224,FALSE,,10%,57%,33%,45%,55%,36%,86%,5%,86%,86%,86%,,100%,86%,78%,92%,-14,100%,89%,86%,92%,90%,86%,93%,,100%,86%,89%,92%,-3,100%,86%,83%,89%,95%,86%,100%,,100%,100%,89%,100%,-11,100%,99%,97%,100%,86%,80%,72%,89%,64%,56%,68%,32%,16%,32%,29%,5%,98.6,40%,60%,46%,60%,40%,54%,0%
107547,381,,KS2,2015,223,FALSE,,8%,61%,31%,33%,67%,0%,92%,0%,98%,96%,100%,,100%,100%,94%,100%,-6,,88%,88%,88%,88%,91%,85%,,97%,73%,94%,85%,9,,90%,90%,90%,100%,100%,100%,,100%,100%,100%,100%,0,,91%,92%,91%,90%,82%,70%,73%,84%,64%,62%,24%,9%,11%,17%,2%,99.7,15%,25%,30%,85%,75%,70%,0%
107737,382,,KS2,2015,221,FALSE,,17%,42%,42%,29%,71%,4%,100%,0%,100%,100%,100%,,100%,100%,100%,100%,0,,97%,96%,98%,96%,100%,92%,,100%,90%,86%,100%,-14,,96%,92%,98%,100%,100%,100%,,100%,100%,100%,100%,0,,99%,96%,100%,96%,86%,86%,82%,96%,81%,68%,29%,19%,24%,29%,0%,100.3,52%,48%,29%,48%,52%,71%,0%
137311,926,,KS2,2015,221,FALSE,,11%,57%,32%,30%,70%,0%,93%,0%,79%,73%,83%,50%,78%,89%,76%,79%,-3,,84%,72%,88%,91%,92%,90%,67%,94%,94%,94%,90%,4,,85%,81%,86%,95%,96%,93%,100%,91%,100%,100%,92%,8,,90%,83%,92%,79%,80%,76%,73%,65%,68%,67%,26%,18%,18%,22%,4%,98.7,13%,12%,27%,87%,88%,73%,0%
137870,370,,KS2,2015,220,FALSE,,6%,59%,34%,18%,82%,6%,97%,3%,100%,100%,100%,,100%,100%,,,,,98%,100%,97%,100%,100%,100%,,100%,100%,,,,,97%,100%,96%,97%,100%,94%,,100%,91%,,,,,97%,100%,96%,94%,86%,87%,91%,88%,77%,76%,24%,41%,30%,29%,6%,100.4,10%,27%,9%,90%,73%,91%,3%
105078,344,,KS2,2015,217,FALSE,,3%,63%,34%,12%,88%,0%,97%,0%,100%,100%,100%,,100%,100%,,,,,99%,100%,99%,97%,94%,100%,,95%,100%,,,,,96%,75%,98%,91%,88%,94%,,85%,100%,,,,,95%,88%,95%,85%,96%,100%,94%,82%,89%,84%,33%,25%,21%,22%,0%,100,0%,4%,13%,100%,96%,88%,0%
101781,306,,KS2,2015,216,FALSE,,3%,67%,30%,3%,97%,3%,100%,0%,90%,87%,93%,,95%,89%,,,,,88%,83%,89%,90%,87%,93%,,95%,89%,,,,,90%,83%,91%,100%,100%,100%,,100%,100%,,,,,97%,100%,97%,90%,67%,84%,78%,61%,55%,66%,19%,27%,23%,38%,3%,99.2,7%,3%,13%,93%,97%,88%,0%
116318,850,,KS2,2015,215,FALSE,,10%,50%,40%,3%,97%,0%,91%,0%,83%,86%,81%,,93%,75%,,,,,87%,86%,87%,97%,93%,100%,,93%,100%,,,,,96%,100%,95%,97%,93%,100%,,100%,100%,,,,,99%,100%,99%,88%,87%,84%,81%,69%,78%,66%,28%,29%,34%,31%,3%,99.6,10%,6%,13%,90%,94%,88%,0%
103999,333,141926,KS2,2015,213,FALSE,,4%,64%,32%,10%,90%,7%,100%,0%,96%,93%,100%,,100%,89%,,,,,98%,100%,98%,100%,100%,100%,,100%,100%,,,,,99%,100%,99%,100%,100%,100%,,100%,100%,,,,,99%,100%,99%,100%,100%,87%,97%,90%,77%,93%,48%,35%,35%,33%,0%,101.4,16%,16%,3%,84%,84%,97%,0%
122752,891,,KS2,2015,213,FALSE,,3%,67%,30%,24%,76%,0%,97%,0%,100%,100%,100%,,100%,100%,100%,100%,0,,100%,100%,100%,97%,100%,95%,,100%,90%,100%,96%,4,,97%,100%,96%,97%,93%,100%,,95%,100%,100%,96%,4,,98%,100%,97%,94%,74%,94%,90%,88%,90%,77%,33%,19%,42%,32%,0%,99.9,23%,10%,26%,77%,90%,74%,0%
105711,353,,KS2,2015,212,FALSE,,10%,47%,43%,3%,97%,3%,100%,0%,100%,100%,100%,,100%,100%,,,,,97%,100%,96%,93%,100%,88%,,93%,92%,,,,,94%,90%,95%,97%,100%,94%,,93%,100%,,,,,97%,90%,98%,90%,93%,80%,77%,83%,73%,67%,33%,23%,30%,33%,3%,100.2,3%,13%,17%,97%,87%,83%,0%
106725,371,,KS2,2015,212,FALSE,,10%,61%,29%,6%,94%,0%,100%,0%,94%,93%,94%,,100%,100%,,,,,96%,88%,97%,94%,93%,94%,,100%,100%,,,,,95%,88%,96%,100%,100%,100%,,100%,100%,,,,,100%,100%,100%,94%,97%,96%,93%,81%,91%,93%,53%,72%,43%,52%,6%,101.2,13%,9%,15%,88%,91%,85%,0%
124094,860,,KS2,2015,211,FALSE,,10%,56%,35%,24%,76%,0%,98%,9%,92%,93%,92%,,90%,100%,83%,95%,-12,,94%,89%,95%,100%,100%,100%,,100%,100%,100%,100%,0,,99%,100%,99%,98%,96%,100%,,100%,100%,100%,98%,2,,96%,100%,95%,87%,83%,91%,83%,82%,84%,78%,29%,33%,41%,37%,2%,99.5,20%,10%,17%,80%,90%,83%,0%
101460,303,,KS2,2015,209,FALSE,,3%,62%,34%,30%,70%,83%,97%,0%,100%,100%,100%,,100%,100%,100%,100%,0,100%,98%,97%,98%,100%,100%,100%,,100%,100%,100%,100%,0,100%,100%,100%,100%,100%,100%,100%,,100%,100%,100%,100%,0,100%,99%,100%,98%,100%,100%,100%,100%,100%,100%,86%,43%,37%,37%,36%,0%,101.2,30%,50%,39%,70%,50%,61%,0%
115151,881,,KS2,2015,209,FALSE,,10%,53%,37%,7%,93%,0%,97%,13%,87%,90%,85%,,88%,82%,,,,,90%,,,90%,90%,90%,,94%,91%,,,,,90%,,,90%,90%,90%,,100%,82%,,,,,91%,,,83%,87%,83%,90%,73%,77%,87%,17%,27%,30%,23%,3%,99.2,7%,3%,0%,93%,97%,100%,0%
108021,383,,KS2,2015,208,FALSE,,0%,70%,30%,33%,67%,7%,100%,0%,97%,100%,92%,,100%,89%,100%,95%,5,,99%,100%,98%,100%,100%,100%,,100%,100%,100%,100%,0,,98%,96%,98%,100%,100%,100%,,100%,100%,100%,100%,0,,100%,100%,100%,100%,97%,97%,96%,83%,93%,85%,37%,38%,43%,48%,0%,100.6,38%,23%,37%,62%,77%,63%,0%
103850,332,,KS2,2015,207,FALSE,,7%,61%,32%,21%,79%,3%,93%,14%,86%,90%,83%,,88%,100%,83%,86%,-3,,91%,92%,91%,79%,80%,78%,,82%,78%,83%,77%,6,,91%,92%,91%,100%,100%,100%,,100%,100%,100%,100%,0,,99%,100%,99%,76%,87%,90%,93%,66%,87%,90%,31%,27%,47%,40%,3%,99.7,17%,13%,7%,83%,87%,93%,3%
109245,801,,KS2,2015,207,FALSE,,10%,59%,31%,7%,93%,10%,100%,7%,93%,91%,94%,,94%,89%,,,,,98%,88%,99%,97%,100%,94%,,94%,100%,,,,,98%,88%,99%,97%,100%,94%,,100%,100%,,,,,98%,100%,97%,90%,96%,90%,100%,87%,77%,97%,33%,44%,33%,48%,0%,100.4,19%,13%,7%,81%,87%,93%,0%
140766,878,,KS2,2015,206,FALSE,,0%,74%,26%,4%,96%,11%,86%,7%,100%,100%,100%,,100%,100%,,,,,86%,63%,89%,100%,100%,100%,,100%,100%,,,,,96%,88%,97%,96%,94%,100%,,95%,100%,,,,,98%,100%,97%,96%,90%,74%,71%,89%,61%,65%,32%,28%,22%,13%,0%,100.2,7%,13%,13%,93%,87%,87%,0%
114736,881,,KS2,2015,206,FALSE,,17%,41%,41%,14%,86%,0%,97%,10%,100%,100%,100%,,100%,100%,,,,,82%,79%,82%,86%,93%,79%,,100%,75%,,,,,85%,93%,84%,97%,93%,100%,,100%,92%,,,,,84%,93%,82%,90%,63%,66%,77%,86%,62%,70%,17%,7%,0%,23%,3%,100,17%,14%,20%,83%,86%,80%,7%
119309,888,,KS2,2015,206,FALSE,,11%,54%,36%,4%,96%,0%,100%,0%,96%,100%,95%,,100%,100%,,,,,90%,86%,90%,93%,78%,100%,,100%,80%,,,,,86%,86%,86%,96%,100%,95%,,100%,90%,,,,,91%,71%,93%,89%,95%,64%,75%,82%,48%,63%,21%,35%,20%,42%,4%,99.5,25%,16%,8%,75%,84%,92%,0%
119152,888,,KS2,2015,205,FALSE,,13%,43%,43%,10%,90%,0%,100%,0%,93%,94%,92%,,100%,92%,,,,,95%,100%,95%,87%,82%,92%,,92%,92%,,,,,86%,80%,86%,100%,100%,100%,,100%,100%,,,,,98%,100%,97%,87%,93%,82%,88%,80%,82%,81%,40%,33%,46%,42%,3%,100.2,7%,7%,23%,93%,93%,77%,0%
118162,921,,KS2,2015,205,FALSE,,0%,76%,24%,14%,86%,0%,93%,0%,97%,100%,94%,,95%,100%,,,,,93%,100%,92%,97%,100%,94%,,95%,100%,,,,,91%,100%,90%,100%,100%,100%,,100%,100%,,,,,99%,100%,99%,97%,89%,82%,89%,90%,68%,89%,41%,19%,32%,26%,0%,100.8,8%,9%,18%,92%,91%,82%,0%
115738,916,,KS2,2015,204,FALSE,,7%,57%,37%,3%,97%,0%,97%,0%,77%,75%,78%,,88%,55%,,,,,79%,71%,79%,97%,100%,94%,,94%,100%,,,,,89%,57%,93%,87%,67%,100%,,82%,91%,,,,,89%,100%,88%,80%,68%,65%,74%,60%,48%,70%,13%,23%,13%,22%,0%,98.6,18%,13%,13%,82%,87%,87%,0%
112704,830,,KS2,2015,203,FALSE,,7%,60%,33%,17%,83%,0%,100%,0%,93%,93%,93%,,89%,100%,,,,,77%,53%,84%,93%,93%,93%,,94%,90%,,,,,83%,71%,87%,97%,93%,100%,,100%,90%,,,,,93%,100%,91%,87%,77%,52%,90%,77%,39%,84%,23%,9%,17%,35%,0%,99.6,32%,26%,19%,68%,74%,81%,0%
124626,935,,KS2,2015,203,FALSE,,16%,45%,39%,16%,84%,0%,97%,3%,94%,94%,93%,,100%,92%,,,,,97%,100%,96%,100%,100%,100%,,100%,100%,,,,,95%,100%,95%,100%,100%,100%,,100%,100%,,,,,98%,100%,97%,97%,86%,86%,97%,87%,76%,84%,39%,19%,43%,34%,0%,100.6,19%,19%,13%,81%,81%,87%,0%
105710,353,,KS2,2015,202,FALSE,,0%,62%,38%,28%,72%,0%,100%,0%,97%,100%,93%,,100%,91%,100%,95%,5,,92%,89%,93%,100%,100%,100%,,100%,100%,100%,100%,0,,90%,89%,90%,100%,100%,100%,,100%,100%,100%,100%,0,,99%,100%,99%,100%,80%,87%,93%,93%,67%,83%,34%,13%,30%,33%,0%,100.3,10%,10%,23%,90%,90%,77%,0%
108041,383,,KS2,2015,202,FALSE,,0%,74%,26%,24%,76%,20%,96%,0%,96%,90%,100%,,94%,100%,,,,,94%,100%,94%,96%,90%,100%,,94%,100%,,,,,93%,89%,94%,96%,100%,92%,,94%,100%,,,,,96%,100%,95%,88%,82%,88%,93%,80%,80%,89%,16%,29%,24%,30%,0%,99.7,11%,8%,7%,89%,92%,93%,0%
117428,919,,KS2,2015,202,FALSE,,11%,48%,41%,29%,71%,14%,96%,0%,93%,92%,93%,,92%,91%,100%,90%,10,,80%,67%,85%,89%,92%,86%,,100%,82%,71%,95%,-24,,88%,81%,90%,100%,100%,100%,,100%,100%,100%,100%,0,,91%,85%,94%,86%,81%,65%,71%,82%,52%,45%,36%,13%,10%,23%,4%,100,26%,29%,35%,74%,71%,65%,0%
121976,928,,KS2,2015,202,FALSE,,12%,38%,50%,8%,92%,0%,96%,4%,96%,92%,100%,,100%,92%,,,,,98%,100%,98%,96%,100%,93%,,100%,92%,,,,,94%,100%,94%,92%,83%,100%,,100%,85%,,,,,97%,100%,96%,81%,79%,87%,94%,77%,80%,91%,31%,28%,33%,41%,4%,100.3,10%,3%,9%,90%,97%,91%,4%
124211,860,,KS2,2015,201,FALSE,,7%,60%,33%,10%,90%,0%,100%,0%,90%,94%,83%,,100%,90%,,,,,86%,75%,88%,90%,83%,100%,,89%,100%,,,,,84%,58%,88%,93%,94%,92%,,94%,90%,,,,,92%,75%,95%,83%,62%,84%,68%,77%,58%,48%,30%,14%,6%,12%,7%,99.5,7%,10%,24%,93%,90%,76%,0%
110624,873,,KS2,2015,201,FALSE,,8%,56%,36%,12%,88%,0%,96%,4%,92%,100%,85%,,86%,100%,,,,,86%,100%,84%,100%,100%,100%,,100%,100%,,,,,92%,88%,93%,100%,100%,100%,,100%,100%,,,,,99%,100%,99%,88%,,81%,78%,77%,58%,63%,38%,,12%,22%,0%,100,,8%,11%,,92%,89%,4%
116814,884,,KS2,2015,200,FALSE,,14%,36%,50%,17%,83%,0%,97%,0%,89%,86%,93%,,80%,100%,,,,,88%,86%,88%,89%,93%,86%,,90%,93%,,,,,91%,86%,91%,93%,86%,100%,,100%,100%,,,,,96%,71%,99%,83%,74%,82%,85%,72%,59%,67%,41%,23%,32%,19%,7%,99.9,13%,5%,4%,87%,95%,96%,0%
111137,896,,KS2,2015,200,FALSE,,4%,72%,24%,52%,48%,0%,96%,0%,100%,100%,100%,,100%,100%,100%,100%,0,,94%,92%,95%,100%,100%,100%,,100%,100%,100%,100%,0,,96%,95%,98%,100%,100%,100%,,100%,100%,100%,100%,0,,98%,95%,100%,100%,78%,78%,93%,96%,63%,86%,24%,17%,19%,29%,0%,100.2,56%,48%,39%,44%,52%,61%,0%
112591,830,,KS2,2015,199,FALSE,,9%,56%,34%,16%,84%,0%,94%,6%,97%,95%,100%,,94%,100%,,,,,98%,100%,97%,100%,100%,100%,,100%,100%,,,,,100%,100%,100%,100%,100%,100%,,100%,100%,,,,,99%,100%,99%,94%,88%,95%,90%,91%,91%,80%,41%,38%,55%,47%,0%,100.7,13%,5%,10%,88%,95%,90%,0%
110422,825,,KS2,2015,198,FALSE,,14%,55%,32%,18%,82%,0%,100%,0%,95%,92%,100%,,100%,100%,,,,,88%,80%,90%,100%,100%,100%,,100%,100%,,,,,92%,90%,93%,95%,92%,100%,,92%,100%,,,,,95%,90%,96%,82%,85%,67%,86%,73%,67%,72%,32%,19%,30%,24%,5%,100,8%,7%,14%,92%,93%,86%,0%
137030,881,,KS2,2015,197,FALSE,,7%,62%,31%,17%,83%,0%,86%,7%,93%,85%,100%,,94%,89%,,,,,96%,83%,98%,100%,100%,100%,,100%,100%,,,,,96%,83%,98%,97%,92%,100%,,100%,100%,,,,,96%,92%,97%,93%,74%,90%,88%,93%,79%,74%,34%,26%,15%,29%,3%,100.4,19%,5%,15%,81%,95%,85%,3%
137102,916,,KS2,2015,196,FALSE,,14%,52%,34%,3%,97%,0%,90%,0%,97%,92%,100%,,100%,100%,,,,,99%,,,90%,83%,94%,,80%,100%,,,,,90%,,,93%,83%,100%,,93%,90%,,,,,96%,,,90%,100%,100%,97%,80%,85%,93%,33%,24%,30%,45%,0%,100.1,0%,4%,7%,100%,96%,93%,0%
136542,928,,KS2,2015,195,FALSE,,10%,57%,33%,18%,82%,0%,95%,9%,91%,83%,94%,,92%,86%,,,,,95%,90%,96%,90%,100%,87%,,100%,100%,,,,,96%,90%,97%,100%,100%,100%,,100%,100%,,,,,100%,100%,100%,86%,96%,97%,93%,82%,93%,89%,36%,42%,47%,44%,0%,100,17%,10%,11%,83%,90%,89%,0%
116841,885,,KS2,2015,194,FALSE,,0%,68%,32%,14%,86%,0%,100%,18%,93%,100%,87%,,89%,100%,,,,,92%,100%,91%,93%,92%,93%,,95%,89%,,,,,87%,89%,86%,100%,100%,100%,,100%,100%,,,,,99%,100%,99%,89%,88%,86%,83%,79%,71%,79%,29%,36%,43%,48%,0%,99.9,0%,7%,14%,100%,93%,86%,0%
112608,830,,KS2,2015,193,FALSE,,10%,49%,41%,43%,57%,2%,100%,0%,75%,79%,68%,,80%,71%,73%,76%,-3,,83%,78%,86%,82%,83%,82%,,88%,76%,82%,83%,-1,,85%,84%,86%,90%,90%,91%,,80%,100%,91%,90%,1,,86%,82%,88%,80%,83%,74%,82%,63%,62%,69%,22%,13%,18%,26%,6%,98.3,31%,24%,38%,69%,76%,62%,0%
138703,371,,KS2,2015,190,FALSE,,8%,54%,38%,27%,73%,4%,96%,0%,81%,85%,77%,,86%,80%,86%,79%,7,,68%,88%,61%,85%,92%,77%,,93%,70%,100%,79%,21,,86%,92%,83%,92%,92%,92%,,86%,100%,100%,89%,11,,91%,100%,88%,85%,76%,59%,59%,50%,38%,56%,15%,16%,6%,9%,4%,98.1,24%,22%,31%,76%,78%,69%,0%
115953,850,,KS2,2015,190,FALSE,,4%,63%,33%,23%,77%,0%,85%,0%,100%,100%,100%,,100%,100%,,,,,95%,88%,98%,96%,91%,100%,,100%,88%,,,,,90%,79%,95%,92%,91%,92%,,93%,100%,,,,,92%,88%,95%,85%,93%,87%,67%,81%,70%,52%,27%,7%,23%,11%,4%,99.9,20%,27%,52%,80%,73%,48%,0%
